지하철역,호선명,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,1,2,3,작업일자
사당,4호선,-179,-9498,-5194,-40452,-45091,-35992,-19278,-7489,-7654,-10652,-9800,-3861,7475,19680,41664,25509,4543,807,1250,5944,4315,565,0,0,20231103
삼각지,4호선,-3,-324,3380,5876,8693,5128,4350,4700,4686,4266,2308,2449,2821,951,134,2008,-2876,-7495,-6800,-3117,645,2,0,0,20231103
상계,4호선,-31,-15023,-30515,-68845,-52564,-28982,-17907,-13350,-10440,-7797,-2270,3331,8932,21676,43753,45374,24922,22318,18587,16846,4585,457,0,0,20231103
서울,4호선,-236,-3645,13468,27675,68239,43871,18034,15351,17771,17730,15492,17686,14455,-2694,-16692,6957,7743,9409,7897,4491,2249,199,0,0,20231103
성신여대입구(돈암),4호선,-22,-4535,-11594,-30073,-7720,-9941,-7744,-335,-6549,-4959,-2881,-5524,-1496,2884,18040,21982,8206,4215,2486,7479,3836,-1,0,0,20231103
수유(강북구청),4호선,-69,-20782,-36242,-89787,-66143,-42374,-27146,-19733,-22098,-12091,-4030,5242,14429,28285,61092,68880,42848,39748,39161,27329,7062,1,0,0,20231103
숙대입구(갈월),4호선,-21,-2331,-278,5090,24916,11442,6974,3068,-2839,-704,-2766,-6789,-12089,-8244,-10431,-381,-6115,-8048,-5649,46,899,0,0,0,20231103
신용산,4호선,-3,-379,9650,24590,71982,49902,17268,10614,10930,7159,6365,59,-7171,-23711,-45246,-18962,-23626,-29283,-20121,-8389,-212,4,0,0,20231103
쌍문,4호선,-246,-23959,-42621,-106524,-95712,-58287,-37435,-26789,-23204,-14973,-5655,8498,18610,33586,70492,73589,45002,41893,40650,28096,8293,21,0,0,20231103
이촌(국립중앙박물관),4호선,-5,-407,2321,359,9476,11075,13312,10212,6944,6417,3909,-1019,-10487,-13388,-5513,5334,-980,-2981,2068,2247,984,24,0,0,20231103
